Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
17-Dec-08,6,322,2,12,4,76.5,11,2008,22,18-Dec-08,1,141.66,-65.16
18-Feb-09,8,350,4,12,5,487.4,11,2008,22,18-Feb-09,1,141.66,345.74
30-Mar-09,9,394,2,12,5,68.8,11,2008,22,30-Mar-09,1,141.66,-72.86
16-Nov-09,5,427,3,12,6,64.6,11,2009,22,16-Nov-09,1,141.66,-77.06
2-Jan-06,7,75,3,12,3,202.21,11,2005,121,16-Jan-06,1,141.66,60.55
12-Aug-06,2,96,1,12,5,0,11,2006,121,15-Aug-06,1,141.66,-141.66
5-Sep-07,3,146,2,12,4,0,11,2007,121,6-Sep-07,1,141.66,-141.66
28-Dec-07,6,198,3,12,6,201.3,11,2007,121,30-Dec-07,1,141.66,59.64
22-Jan-08,7,216,3,12,6,174.2,11,2007,121,25-Jan-08,1,141.66,32.54
23-Apr-06,10,22,3,15,2,41.5,2,2005,152,24-Apr-06,2,41.5,0
25-Mar-06,10,88,2,8,2,76.1,29,2005,141,8-Apr-06,3,149.7,-73.6
7-Apr-07,10,112,3,8,4,290.8,29,2006,141,8-Apr-07,3,149.7,141.1
14-Apr-08,10,296,3,8,4,82.2,29,2007,141,15-Apr-08,3,149.7,-67.5
18-Mar-06,9,3,1,10,3,198.4,4,2005,78,25-Mar-06,4,119.95,78.45
21-Apr-06,10,21,1,10,3,41.5,4,2005,78,23-Apr-06,4,119.95,-78.45
24-Apr-06,10,19,3,6,2,38.1,35,2005,41,25-Apr-06,5,113,-74.9
26-Jan-07,7,162,3,6,3,136,35,2006,41,26-Jan-07,5,113,23
8-Feb-07,8,100,3,6,3,152,35,2006,41,9-Feb-07,5,113,39
17-Apr-07,10,109,1,6,3,268.3,35,2006,41,17-Apr-07,5,113,155.3
12-May-07,11,123,2,6,3,0,35,2006,41,13-May-07,5,113,-113
6-Mar-08,9,248,3,6,3,256.5,35,2007,125,6-Mar-08,5,113,143.5
7-Apr-08,10,284,1,6,3,86.8,35,2007,125,7-Apr-08,5,113,-26.2
16-Apr-08,10,292,3,6,3,82.2,35,2007,125,16-Apr-08,5,113,-30.8
23-Mar-09,9,379,3,6,2,110.1,35,2008,137,23-Mar-09,5,113,-2.9
23-Aug-07,2,138,3,6,2,0,35,2007,162,29-Aug-07,5,113,-113
30-Apr-06,11,14,3,2,2,19.6,33,2005,124,1-May-06,6,136.36,-116.76
6-Sep-06,3,42,3,2,5,0,33,2006,124,6-Sep-06,6,136.36,-136.36
28-Dec-06,6,73,3,2,3,144.4,33,2006,124,28-Dec-06,6,136.36,8.04
13-Feb-07,8,176,3,2,3,133,33,2006,124,13-Feb-07,6,136.36,-3.36
4-Mar-07,9,101,3,2,3,35.6,33,2006,124,4-Mar-07,6,136.36,-100.76
6-Apr-07,10,104,3,2,3,291.8,33,2006,124,6-Apr-07,6,136.36,155.44
2-Mar-08,9,245,4,2,3,329,33,2007,124,2-Mar-08,6,136.36,192.64
18-Feb-09,8,359,2,2,2,383.9,33,2008,127,24-Feb-09,6,136.36,247.54
14-Mar-09,9,371,4,2,2,154.4,33,2008,127,14-Mar-09,6,136.36,18.04
12-Apr-09,10,393,3,2,2,7.4,33,2008,127,12-Apr-09,6,136.36,-128.96
30-Apr-09,10,399,3,2,2,0.6,33,2008,127,30-Apr-09,6,136.36,-135.76
23-Feb-06,8,81,2,14,2,89,10,2005,89,26-Feb-06,7,114.98,-25.98
18-Apr-06,10,1,3,14,6,41.5,10,2005,89,18-Apr-06,7,114.98,-73.48
9-May-06,11,15,3,14,4,20.8,10,2005,89,9-May-06,7,114.98,-94.18
24-Aug-06,2,35,3,14,3,0,10,2006,89,24-Aug-06,7,114.98,-114.98
21-Oct-06,4,63,3,14,3,13.3,10,2006,89,21-Oct-06,7,114.98,-101.68
15-Nov-06,5,68,1,14,3,88.6,10,2006,89,15-Nov-06,7,114.98,-26.38
29-Jan-07,7,187,3,14,3,136,10,2006,89,30-Jan-07,7,114.98,21.02
12-Apr-07,10,108,3,14,2,284.1,10,2006,89,13-Apr-07,7,114.98,169.12
28-Dec-07,6,175,3,14,3,204.1,10,2007,89,28-Dec-07,7,114.98,89.12
17-Feb-08,8,222,4,14,3,272.4,10,2007,89,17-Feb-08,7,114.98,157.42
30-Apr-06,11,18,2,7,2,21,23,2005,117,3-May-06,8,21,0
